XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
alveo4c
alveo1a
alveo2a
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:1024, num_elements:256, num_trials:200
iteration:34, F2F_time[s]:0.000231, H2H_time:0.000067, sync_time:0.000164
iteration:35, F2F_time[s]:0.000231, H2H_time:0.000064, sync_time:0.000167
iteration:36, F2F_time[s]:0.000221, H2H_time:0.000065, sync_time:0.000156
iteration:37, F2F_time[s]:0.000216, H2H_time:0.000060, sync_time:0.000156
iteration:38, F2F_time[s]:0.000234, H2H_time:0.000072, sync_time:0.000162
iteration:39, F2F_time[s]:0.000225, H2H_time:0.000070, sync_time:0.000156
iteration:40, F2F_time[s]:0.000215, H2H_time:0.000061, sync_time:0.000154
iteration:41, F2F_time[s]:0.000217, H2H_time:0.000066, sync_time:0.000151
iteration:42, F2F_time[s]:0.000218, H2H_time:0.000065, sync_time:0.000153
iteration:43, F2F_time[s]:0.000221, H2H_time:0.000063, sync_time:0.000158
iteration:44, F2F_time[s]:0.000220, H2H_time:0.000067, sync_time:0.000153
iteration:45, F2F_time[s]:0.000225, H2H_time:0.000063, sync_time:0.000162
iteration:46, F2F_time[s]:0.000230, H2H_time:0.000069, sync_time:0.000161
iteration:47, F2F_time[s]:0.000217, H2H_time:0.000067, sync_time:0.000150
iteration:48, F2F_time[s]:0.000216, H2H_time:0.000069, sync_time:0.000147
iteration:49, F2F_time[s]:0.000230, H2H_time:0.000067, sync_time:0.000163
iteration:50, F2F_time[s]:0.000235, H2H_time:0.000063, sync_time:0.000173
iteration:51, F2F_time[s]:0.000229, H2H_time:0.000066, sync_time:0.000162
iteration:52, F2F_time[s]:0.000213, H2H_time:0.000065, sync_time:0.000149
iteration:53, F2F_time[s]:0.000247, H2H_time:0.000066, sync_time:0.000181
iteration:54, F2F_time[s]:0.000235, H2H_time:0.000069, sync_time:0.000166
iteration:55, F2F_time[s]:0.000231, H2H_time:0.000067, sync_time:0.000163
iteration:56, F2F_time[s]:0.000225, H2H_time:0.000065, sync_time:0.000161
iteration:57, F2F_time[s]:0.000241, H2H_time:0.000057, sync_time:0.000184
iteration:58, F2F_time[s]:0.000261, H2H_time:0.000051, sync_time:0.000210
iteration:59, F2F_time[s]:0.000226, H2H_time:0.000050, sync_time:0.000176
iteration:60, F2F_time[s]:0.000253, H2H_time:0.000055, sync_time:0.000198
iteration:61, F2F_time[s]:0.000243, H2H_time:0.000050, sync_time:0.000193
iteration:62, F2F_time[s]:0.000249, H2H_time:0.000052, sync_time:0.000198
iteration:63, F2F_time[s]:0.000229, H2H_time:0.000054, sync_time:0.000176
iteration:64, F2F_time[s]:0.000257, H2H_time:0.000057, sync_time:0.000200
iteration:65, F2F_time[s]:0.000243, H2H_time:0.000048, sync_time:0.000195
iteration:66, F2F_time[s]:0.000250, H2H_time:0.000052, sync_time:0.000198
iteration:67, F2F_time[s]:0.000252, H2H_time:0.000051, sync_time:0.000202
iteration:68, F2F_time[s]:0.000252, H2H_time:0.000052, sync_time:0.000200
iteration:69, F2F_time[s]:0.000244, H2H_time:0.000053, sync_time:0.000191
iteration:70, F2F_time[s]:0.000240, H2H_time:0.000051, sync_time:0.000189
iteration:71, F2F_time[s]:0.000250, H2H_time:0.000047, sync_time:0.000203
iteration:72, F2F_time[s]:0.000247, H2H_time:0.000049, sync_time:0.000197
iteration:73, F2F_time[s]:0.000253, H2H_time:0.000057, sync_time:0.000197
iteration:74, F2F_time[s]:0.000251, H2H_time:0.000052, sync_time:0.000199
iteration:75, F2F_time[s]:0.000251, H2H_time:0.000053, sync_time:0.000198
iteration:76, F2F_time[s]:0.000247, H2H_time:0.000052, sync_time:0.000195
iteration:77, F2F_time[s]:0.000245, H2H_time:0.000050, sync_time:0.000195
iteration:78, F2F_time[s]:0.000246, H2H_time:0.000055, sync_time:0.000191
iteration:79, F2F_time[s]:0.000250, H2H_time:0.000054, sync_time:0.000196
iteration:80, F2F_time[s]:0.000251, H2H_time:0.000052, sync_time:0.000199
iteration:81, F2F_time[s]:0.000239, H2H_time:0.000049, sync_time:0.000190
iteration:82, F2F_time[s]:0.000220, H2H_time:0.000052, sync_time:0.000168
iteration:83, F2F_time[s]:0.000241, H2H_time:0.000051, sync_time:0.000191
iteration:84, F2F_time[s]:0.000251, H2H_time:0.000051, sync_time:0.000200
iteration:85, F2F_time[s]:0.000249, H2H_time:0.000049, sync_time:0.000199
iteration:86, F2F_time[s]:0.000246, H2H_time:0.000053, sync_time:0.000193
iteration:87, F2F_time[s]:0.000253, H2H_time:0.000051, sync_time:0.000202
iteration:88, F2F_time[s]:0.000249, H2H_time:0.000054, sync_time:0.000195
iteration:89, F2F_time[s]:0.000245, H2H_time:0.000056, sync_time:0.000189
iteration:90, F2F_time[s]:0.000251, H2H_time:0.000053, sync_time:0.000198
iteration:91, F2F_time[s]:0.000222, H2H_time:0.000052, sync_time:0.000170
iteration:92, F2F_time[s]:0.000249, H2H_time:0.000051, sync_time:0.000198
iteration:93, F2F_time[s]:0.000241, H2H_time:0.000053, sync_time:0.000187
iteration:94, F2F_time[s]:0.000245, H2H_time:0.000052, sync_time:0.000193
iteration:95, F2F_time[s]:0.000248, H2H_time:0.000054, sync_time:0.000194
iteration:96, F2F_time[s]:0.000245, H2H_time:0.000050, sync_time:0.000195
iteration:97, F2F_time[s]:0.000251, H2H_time:0.000055, sync_time:0.000196
iteration:98, F2F_time[s]:0.000241, H2H_time:0.000050, sync_time:0.000191
iteration:99, F2F_time[s]:0.000246, H2H_time:0.000050, sync_time:0.000196
iteration:100, F2F_time[s]:0.000229, H2H_time:0.000053, sync_time:0.000176
iteration:101, F2F_time[s]:0.000219, H2H_time:0.000049, sync_time:0.000169
iteration:102, F2F_time[s]:0.000241, H2H_time:0.000048, sync_time:0.000192
iteration:103, F2F_time[s]:0.000242, H2H_time:0.000049, sync_time:0.000194
iteration:104, F2F_time[s]:0.000246, H2H_time:0.000052, sync_time:0.000194
iteration:105, F2F_time[s]:0.000249, H2H_time:0.000051, sync_time:0.000198
iteration:106, F2F_time[s]:0.000242, H2H_time:0.000049, sync_time:0.000193
iteration:107, F2F_time[s]:0.000243, H2H_time:0.000050, sync_time:0.000193
iteration:108, F2F_time[s]:0.000250, H2H_time:0.000049, sync_time:0.000200
iteration:109, F2F_time[s]:0.000197, H2H_time:0.000050, sync_time:0.000147
iteration:110, F2F_time[s]:0.000250, H2H_time:0.000051, sync_time:0.000200
iteration:111, F2F_time[s]:0.000250, H2H_time:0.000049, sync_time:0.000201
iteration:112, F2F_time[s]:0.000247, H2H_time:0.000051, sync_time:0.000195
iteration:113, F2F_time[s]:0.000224, H2H_time:0.000052, sync_time:0.000172
iteration:114, F2F_time[s]:0.000250, H2H_time:0.000050, sync_time:0.000200
iteration:115, F2F_time[s]:0.000245, H2H_time:0.000048, sync_time:0.000196
iteration:116, F2F_time[s]:0.000236, H2H_time:0.000051, sync_time:0.000184
iteration:117, F2F_time[s]:0.000214, H2H_time:0.000050, sync_time:0.000165
iteration:118, F2F_time[s]:0.000255, H2H_time:0.000054, sync_time:0.000201
iteration:119, F2F_time[s]:0.000245, H2H_time:0.000053, sync_time:0.000192
iteration:120, F2F_time[s]:0.000214, H2H_time:0.000049, sync_time:0.000165
iteration:121, F2F_time[s]:0.000248, H2H_time:0.000047, sync_time:0.000200
iteration:122, F2F_time[s]:0.000244, H2H_time:0.000048, sync_time:0.000197
iteration:123, F2F_time[s]:0.000255, H2H_time:0.000051, sync_time:0.000203
iteration:124, F2F_time[s]:0.000250, H2H_time:0.000053, sync_time:0.000197
iteration:125, F2F_time[s]:0.000247, H2H_time:0.000050, sync_time:0.000197
iteration:126, F2F_time[s]:0.000247, H2H_time:0.000050, sync_time:0.000197
iteration:127, F2F_time[s]:0.000227, H2H_time:0.000050, sync_time:0.000177
iteration:128, F2F_time[s]:0.000250, H2H_time:0.000055, sync_time:0.000195
iteration:129, F2F_time[s]:0.000241, H2H_time:0.000050, sync_time:0.000191
iteration:130, F2F_time[s]:0.000241, H2H_time:0.000048, sync_time:0.000193
iteration:131, F2F_time[s]:0.000246, H2H_time:0.000050, sync_time:0.000196
iteration:132, F2F_time[s]:0.000220, H2H_time:0.000048, sync_time:0.000172
iteration:133, F2F_time[s]:0.000247, H2H_time:0.000049, sync_time:0.000198
iteration:134, F2F_time[s]:0.000245, H2H_time:0.000048, sync_time:0.000197
iteration:135, F2F_time[s]:0.000219, H2H_time:0.000049, sync_time:0.000170
iteration:136, F2F_time[s]:0.000246, H2H_time:0.000048, sync_time:0.000197
iteration:137, F2F_time[s]:0.000249, H2H_time:0.000051, sync_time:0.000199
iteration:138, F2F_time[s]:0.000227, H2H_time:0.000050, sync_time:0.000177
iteration:139, F2F_time[s]:0.000221, H2H_time:0.000050, sync_time:0.000171
iteration:140, F2F_time[s]:0.000224, H2H_time:0.000049, sync_time:0.000174
iteration:141, F2F_time[s]:0.000218, H2H_time:0.000048, sync_time:0.000171
iteration:142, F2F_time[s]:0.000242, H2H_time:0.000047, sync_time:0.000195
iteration:143, F2F_time[s]:0.000223, H2H_time:0.000049, sync_time:0.000174
iteration:144, F2F_time[s]:0.000222, H2H_time:0.000050, sync_time:0.000172
iteration:145, F2F_time[s]:0.000246, H2H_time:0.000049, sync_time:0.000197
iteration:146, F2F_time[s]:0.000243, H2H_time:0.000048, sync_time:0.000195
iteration:147, F2F_time[s]:0.000205, H2H_time:0.000051, sync_time:0.000154
iteration:148, F2F_time[s]:0.000202, H2H_time:0.000049, sync_time:0.000154
iteration:149, F2F_time[s]:0.000224, H2H_time:0.000048, sync_time:0.000176
iteration:150, F2F_time[s]:0.000222, H2H_time:0.000048, sync_time:0.000174
iteration:151, F2F_time[s]:0.000222, H2H_time:0.000047, sync_time:0.000175
iteration:152, F2F_time[s]:0.000205, H2H_time:0.000050, sync_time:0.000155
iteration:153, F2F_time[s]:0.000224, H2H_time:0.000049, sync_time:0.000175
iteration:154, F2F_time[s]:0.000222, H2H_time:0.000050, sync_time:0.000172
iteration:155, F2F_time[s]:0.000210, H2H_time:0.000049, sync_time:0.000161
iteration:156, F2F_time[s]:0.000230, H2H_time:0.000049, sync_time:0.000181
iteration:157, F2F_time[s]:0.000253, H2H_time:0.000055, sync_time:0.000198
iteration:158, F2F_time[s]:0.000247, H2H_time:0.000047, sync_time:0.000200
iteration:159, F2F_time[s]:0.000243, H2H_time:0.000049, sync_time:0.000194
iteration:160, F2F_time[s]:0.000239, H2H_time:0.000046, sync_time:0.000193
iteration:161, F2F_time[s]:0.000241, H2H_time:0.000049, sync_time:0.000193
iteration:162, F2F_time[s]:0.000246, H2H_time:0.000048, sync_time:0.000198
iteration:163, F2F_time[s]:0.000216, H2H_time:0.000047, sync_time:0.000168
iteration:164, F2F_time[s]:0.000217, H2H_time:0.000049, sync_time:0.000168
iteration:165, F2F_time[s]:0.000238, H2H_time:0.000051, sync_time:0.000187
iteration:166, F2F_time[s]:0.000229, H2H_time:0.000054, sync_time:0.000174
iteration:167, F2F_time[s]:0.000226, H2H_time:0.000054, sync_time:0.000172
iteration:168, F2F_time[s]:0.000207, H2H_time:0.000050, sync_time:0.000157
iteration:169, F2F_time[s]:0.000216, H2H_time:0.000048, sync_time:0.000168
iteration:170, F2F_time[s]:0.000226, H2H_time:0.000051, sync_time:0.000176
iteration:171, F2F_time[s]:0.000231, H2H_time:0.000053, sync_time:0.000177
iteration:172, F2F_time[s]:0.000218, H2H_time:0.000050, sync_time:0.000168
iteration:173, F2F_time[s]:0.000226, H2H_time:0.000051, sync_time:0.000175
iteration:174, F2F_time[s]:0.000223, H2H_time:0.000049, sync_time:0.000173
iteration:175, F2F_time[s]:0.000197, H2H_time:0.000052, sync_time:0.000146
iteration:176, F2F_time[s]:0.000194, H2H_time:0.000049, sync_time:0.000145
iteration:177, F2F_time[s]:0.000192, H2H_time:0.000047, sync_time:0.000145
iteration:178, F2F_time[s]:0.000193, H2H_time:0.000049, sync_time:0.000144
iteration:179, F2F_time[s]:0.000193, H2H_time:0.000046, sync_time:0.000147
iteration:180, F2F_time[s]:0.000215, H2H_time:0.000049, sync_time:0.000166
iteration:181, F2F_time[s]:0.000205, H2H_time:0.000052, sync_time:0.000153
iteration:182, F2F_time[s]:0.000264, H2H_time:0.000125, sync_time:0.000139
iteration:183, F2F_time[s]:0.000266, H2H_time:0.000114, sync_time:0.000153
iteration:184, F2F_time[s]:0.000249, H2H_time:0.000104, sync_time:0.000146
iteration:185, F2F_time[s]:0.000223, H2H_time:0.000047, sync_time:0.000176
iteration:186, F2F_time[s]:0.000253, H2H_time:0.000105, sync_time:0.000148
iteration:187, F2F_time[s]:0.000253, H2H_time:0.000110, sync_time:0.000143
iteration:188, F2F_time[s]:0.000267, H2H_time:0.000112, sync_time:0.000155
iteration:189, F2F_time[s]:0.000262, H2H_time:0.000116, sync_time:0.000146
iteration:190, F2F_time[s]:0.000268, H2H_time:0.000111, sync_time:0.000157
iteration:191, F2F_time[s]:0.000252, H2H_time:0.000101, sync_time:0.000151
iteration:192, F2F_time[s]:0.000231, H2H_time:0.000049, sync_time:0.000182
iteration:193, F2F_time[s]:0.000220, H2H_time:0.000046, sync_time:0.000174
iteration:194, F2F_time[s]:0.000248, H2H_time:0.000100, sync_time:0.000148
iteration:195, F2F_time[s]:0.000303, H2H_time:0.000133, sync_time:0.000171
iteration:196, F2F_time[s]:0.000323, H2H_time:0.000146, sync_time:0.000177
iteration:197, F2F_time[s]:0.000312, H2H_time:0.000139, sync_time:0.000173
iteration:198, F2F_time[s]:0.000317, H2H_time:0.000147, sync_time:0.000169
iteration:199, F2F_time[s]:0.000325, H2H_time:0.000149, sync_time:0.000176
iteration:200, F2F_time[s]:0.000303, H2H_time:0.000144, sync_time:0.000159
Data size = 1024, Trials = 200
Avg MPI F2F time [us]= *241.240790, H2H time= 63.323645, sync time= 177.917145, H2H throughput [Gbps] = 0.129367
